datetime_official_portugal,time zone,datetime,height_zh,height,tide
2017-02-27 21:07,WET,2017-02-27 21:07,0.4,-1.7,low
2017-02-28 03:38,WET,2017-02-28 03:38,3.6,1.5,high
2017-02-28 09:31,WET,2017-02-28 09:31,0.4,-1.7,low
2017-02-28 15:58,WET,2017-02-28 15:58,3.4,1.3,high
2017-02-28 21:45,WET,2017-02-28 21:45,0.4,-1.7,low
2017-03-01 04:18,WET,2017-03-01 04:18,3.6,1.5,high
2017-03-01 10:09,WET,2017-03-01 10:09,0.4,-1.7,low
2017-03-01 16:38,WET,2017-03-01 16:38,3.4,1.3,high
2017-03-01 22:25,WET,2017-03-01 22:25,0.5,-1.6,low
2017-03-02 04:59,WET,2017-03-02 04:59,3.5,1.4,high
2017-03-02 10:50,WET,2017-03-02 10:50,0.5,-1.6,low
2017-03-02 17:20,WET,2017-03-02 17:20,3.3,1.2,high
2017-03-02 23:08,WET,2017-03-02 23:08,0.6,-1.5,low
2017-03-03 05:43,WET,2017-03-03 05:43,3.3,1.2,high
2017-03-03 11:33,WET,2017-03-03 11:33,0.7,-1.4,low
2017-03-03 18:07,WET,2017-03-03 18:07,3.2,1.1,high
2017-03-03 23:56,WET,2017-03-03 23:56,0.8,-1.3,low
2017-03-04 06:33,WET,2017-03-04 06:33,3.1,1.0,high
2017-03-04 12:24,WET,2017-03-04 12:24,0.9,-1.2,low
2017-03-04 19:01,WET,2017-03-04 19:01,3.0,0.9,high
2017-03-05 00:53,WET,2017-03-05 00:53,1.0,-1.1,low
2017-03-05 07:35,WET,2017-03-05 07:35,2.9,0.8,high
2017-03-05 13:26,WET,2017-03-05 13:26,1.2,-0.9,low
2017-03-05 20:10,WET,2017-03-05 20:10,2.8,0.7,high
2017-03-06 02:09,WET,2017-03-06 02:09,1.2,-0.9,low
2017-03-06 08:52,WET,2017-03-06 08:52,2.8,0.7,high
2017-03-06 14:51,WET,2017-03-06 14:51,1.3,-0.8,low
2017-03-06 21:33,WET,2017-03-06 21:33,2.8,0.7,high
2017-03-07 03:50,WET,2017-03-07 03:50,1.2,-0.9,low
2017-03-07 10:18,WET,2017-03-07 10:18,2.7,0.6,high
2017-03-07 16:27,WET,2017-03-07 16:27,1.3,-0.8,low
2017-03-07 22:53,WET,2017-03-07 22:53,2.9,0.8,high
2017-03-08 05:14,WET,2017-03-08 05:14,1.1,-1.0,low
2017-03-08 11:32,WET,2017-03-08 11:32,2.9,0.8,high
2017-03-08 17:38,WET,2017-03-08 17:38,1.1,-1.0,low
2017-03-08 23:59,WET,2017-03-08 23:59,3.1,1.0,high
2017-03-09 06:14,WET,2017-03-09 06:14,0.9,-1.2,low
2017-03-09 12:31,WET,2017-03-09 12:31,3.0,0.9,high
2017-03-09 18:31,WET,2017-03-09 18:31,0.9,-1.2,low
2017-03-10 00:53,WET,2017-03-10 00:53,3.2,1.1,high
2017-03-10 07:03,WET,2017-03-10 07:03,0.7,-1.4,low
2017-03-10 13:19,WET,2017-03-10 13:19,3.2,1.1,high
2017-03-10 19:16,WET,2017-03-10 19:16,0.8,-1.3,low
2017-03-11 01:40,WET,2017-03-11 01:40,3.4,1.3,high
2017-03-11 07:44,WET,2017-03-11 07:44,0.6,-1.5,low
2017-03-11 14:01,WET,2017-03-11 14:01,3.3,1.2,high
2017-03-11 19:56,WET,2017-03-11 19:56,0.6,-1.5,low
2017-03-12 02:21,WET,2017-03-12 02:21,3.5,1.4,high
2017-03-12 08:22,WET,2017-03-12 08:22,0.5,-1.6,low
2017-03-12 14:40,WET,2017-03-12 14:40,3.3,1.2,high
2017-03-12 20:33,WET,2017-03-12 20:33,0.5,-1.6,low
2017-03-13 03:00,WET,2017-03-13 03:00,3.5,1.4,high
2017-03-13 08:56,WET,2017-03-13 08:56,0.5,-1.6,low
2017-03-13 15:16,WET,2017-03-13 15:16,3.3,1.2,high
2017-03-13 21:07,WET,2017-03-13 21:07,0.5,-1.6,low
2017-03-14 03:36,WET,2017-03-14 03:36,3.5,1.4,high
2017-03-14 09:29,WET,2017-03-14 09:29,0.6,-1.5,low
2017-03-14 15:51,WET,2017-03-14 15:51,3.3,1.2,high
2017-03-14 21:39,WET,2017-03-14 21:39,0.6,-1.5,low
2017-03-15 04:10,WET,2017-03-15 04:10,3.4,1.3,high
2017-03-15 09:59,WET,2017-03-15 09:59,0.7,-1.4,low
2017-03-15 16:24,WET,2017-03-15 16:24,3.2,1.1,high
2017-03-15 22:11,WET,2017-03-15 22:11,0.7,-1.4,low
2017-03-16 04:42,WET,2017-03-16 04:42,3.2,1.1,high
2017-03-16 10:29,WET,2017-03-16 10:29,0.8,-1.3,low
2017-03-16 16:57,WET,2017-03-16 16:57,3.1,1.0,high
2017-03-16 22:43,WET,2017-03-16 22:43,0.9,-1.2,low
2017-03-17 05:15,WET,2017-03-17 05:15,3.0,0.9,high
2017-03-17 11:00,WET,2017-03-17 11:00,1.0,-1.1,low
2017-03-17 17:30,WET,2017-03-17 17:30,3.0,0.9,high
2017-03-17 23:17,WET,2017-03-17 23:17,1.0,-1.1,low
