code,point,datetime_recorded,time_zone,datetime,raw_depth,corrected_depth,depth
depth2,Zn3_0,2017-03-30 10:30:00,WEST,2017-03-30 09:30:00,0.01367,-0.09633,0.00
depth2,Zn3_0,2017-03-30 10:31:00,WEST,2017-03-30 09:30:59,0.01017,-0.09983,0.00
depth2,Zn3_0,2017-03-30 10:32:00,WEST,2017-03-30 09:32:00,0.01442,-0.09558,0.00
depth2,Zn3_0,2017-03-30 10:33:00,WEST,2017-03-30 09:32:59,0.01254,-0.09746,0.00
depth2,Zn3_0,2017-03-30 10:34:00,WEST,2017-03-30 09:34:00,0.01420,-0.09580,0.00
depth2,Zn3_0,2017-03-30 10:35:00,WEST,2017-03-30 09:34:59,0.01224,-0.09776,0.00
depth2,Zn3_0,2017-03-30 10:36:00,WEST,2017-03-30 09:36:00,0.01368,-0.09632,0.00
depth2,Zn3_0,2017-03-30 10:37:00,WEST,2017-03-30 09:37:00,0.01269,-0.09731,0.00
depth2,Zn3_0,2017-03-30 10:38:00,WEST,2017-03-30 09:38:00,0.01353,-0.09647,0.00
depth2,Zn3_0,2017-03-30 10:39:00,WEST,2017-03-30 09:39:00,0.01147,-0.09853,0.00
depth2,Zn3_0,2017-03-30 10:40:00,WEST,2017-03-30 09:40:00,0.01136,-0.09864,0.00
depth2,Zn3_0,2017-03-30 10:41:00,WEST,2017-03-30 09:41:00,0.01404,-0.09597,0.00
depth2,Zn3_0,2017-03-30 10:42:00,WEST,2017-03-30 09:41:59,0.01352,-0.09648,0.00
depth2,Zn3_0,2017-03-30 10:43:00,WEST,2017-03-30 09:43:00,0.01369,-0.09631,0.00
depth2,Zn3_0,2017-03-30 10:44:00,WEST,2017-03-30 09:44:00,0.01338,-0.09662,0.00
depth2,Zn3_0,2017-03-30 10:45:00,WEST,2017-03-30 09:45:00,0.01386,-0.09614,0.00
depth2,Zn3_0,2017-03-30 10:46:00,WEST,2017-03-30 09:46:00,0.01344,-0.09656,0.00
depth2,Zn3_0,2017-03-30 10:47:00,WEST,2017-03-30 09:47:00,0.01333,-0.09667,0.00
depth2,Zn3_0,2017-03-30 10:48:00,WEST,2017-03-30 09:48:00,0.01285,-0.09715,0.00
depth2,Zn3_0,2017-03-30 10:49:00,WEST,2017-03-30 09:48:59,0.01305,-0.09695,0.00
depth2,Zn3_0,2017-03-30 10:50:00,WEST,2017-03-30 09:50:00,0.01092,-0.09908,0.00
depth2,Zn3_0,2017-03-30 10:51:00,WEST,2017-03-30 09:50:59,0.01065,-0.09935,0.00
depth2,Zn3_0,2017-03-30 10:52:00,WEST,2017-03-30 09:52:00,0.01246,-0.09754,0.00
depth2,Zn3_0,2017-03-30 10:53:00,WEST,2017-03-30 09:53:00,0.01326,-0.09674,0.00
depth2,Zn3_0,2017-03-30 10:54:00,WEST,2017-03-30 09:54:00,0.01122,-0.09878,0.00
depth2,Zn3_0,2017-03-30 10:55:00,WEST,2017-03-30 09:55:00,0.01363,-0.09637,0.00
depth2,Zn3_0,2017-03-30 10:56:00,WEST,2017-03-30 09:56:00,0.01330,-0.09670,0.00
depth2,Zn3_0,2017-03-30 10:57:00,WEST,2017-03-30 09:57:00,0.01497,-0.09503,0.00
depth2,Zn3_0,2017-03-30 10:58:00,WEST,2017-03-30 09:57:59,0.01316,-0.09684,0.00
depth2,Zn3_0,2017-03-30 10:59:00,WEST,2017-03-30 09:59:00,0.01424,-0.09576,0.00
depth2,Zn3_0,2017-03-30 11:00:00,WEST,2017-03-30 09:59:59,0.01334,-0.09666,0.00
depth2,Zn3_0,2017-03-30 11:01:00,WEST,2017-03-30 10:01:00,0.01246,-0.09754,0.00
