"","datetime","height","tide","timemin","day","month","timeh"
"1",2017-02-27 21:07:00,-1.73,"low",-1613,27,2,-26.8833333333333
"2",2017-02-28 03:38:00,1.47,"high",-1222,28,2,-20.3666666666667
"3",2017-02-28 09:31:00,-1.73,"low",-869,28,2,-14.4833333333333
"4",2017-02-28 15:58:00,1.27,"high",-482,28,2,-8.03333333333333
"5",2017-02-28 21:45:00,-1.73,"low",-135,28,2,-2.25
"6",2017-03-01 04:18:00,1.47,"high",258,1,3,4.3
"7",2017-03-01 10:09:00,-1.73,"low",609,1,3,10.15
"8",2017-03-01 16:38:00,1.27,"high",998,1,3,16.6333333333333
"9",2017-03-01 22:25:00,-1.63,"low",1345,1,3,22.4166666666667
"10",2017-03-02 04:59:00,1.37,"high",1739,2,3,28.9833333333333
"11",2017-03-02 10:50:00,-1.63,"low",2090,2,3,34.8333333333333
"12",2017-03-02 17:20:00,1.17,"high",2480,2,3,41.3333333333333
"13",2017-03-02 23:08:00,-1.53,"low",2828,2,3,47.1333333333333
"14",2017-03-03 05:43:00,1.17,"high",3223,3,3,53.7166666666667
"15",2017-03-03 11:33:00,-1.43,"low",3573,3,3,59.55
"16",2017-03-03 18:07:00,1.07,"high",3967,3,3,66.1166666666667
"17",2017-03-03 23:56:00,-1.33,"low",4316,3,3,71.9333333333333
"18",2017-03-04 06:33:00,0.97,"high",4713,4,3,78.55
"19",2017-03-04 12:24:00,-1.23,"low",5064,4,3,84.4
"20",2017-03-04 19:01:00,0.87,"high",5461,4,3,91.0166666666667
"21",2017-03-05 00:53:00,-1.13,"low",5813,5,3,96.8833333333333
"22",2017-03-05 07:35:00,0.77,"high",6215,5,3,103.583333333333
"23",2017-03-05 13:26:00,-0.93,"low",6566,5,3,109.433333333333
"24",2017-03-05 20:10:00,0.67,"high",6970,5,3,116.166666666667
"25",2017-03-06 02:09:00,-0.93,"low",7329,6,3,122.15
"26",2017-03-06 08:52:00,0.67,"high",7732,6,3,128.866666666667
"27",2017-03-06 14:51:00,-0.83,"low",8091,6,3,134.85
"28",2017-03-06 21:33:00,0.67,"high",8493,6,3,141.55
"29",2017-03-07 03:50:00,-0.93,"low",8870,7,3,147.833333333333
"30",2017-03-07 10:18:00,0.57,"high",9258,7,3,154.3
"31",2017-03-07 16:27:00,-0.83,"low",9627,7,3,160.45
"32",2017-03-07 22:53:00,0.77,"high",10013,7,3,166.883333333333
"33",2017-03-08 05:14:00,-1.03,"low",10394,8,3,173.233333333333
"34",2017-03-08 11:32:00,0.77,"high",10772,8,3,179.533333333333
"35",2017-03-08 17:38:00,-1.03,"low",11138,8,3,185.633333333333
"36",2017-03-08 23:59:00,0.97,"high",11519,8,3,191.983333333333
"37",2017-03-09 06:14:00,-1.23,"low",11894,9,3,198.233333333333
"38",2017-03-09 12:31:00,0.87,"high",12271,9,3,204.516666666667
"39",2017-03-09 18:31:00,-1.23,"low",12631,9,3,210.516666666667
"40",2017-03-10 00:53:00,1.07,"high",13013,10,3,216.883333333333
"41",2017-03-10 07:03:00,-1.43,"low",13383,10,3,223.05
"42",2017-03-10 13:19:00,1.07,"high",13759,10,3,229.316666666667
"43",2017-03-10 19:16:00,-1.33,"low",14116,10,3,235.266666666667
"44",2017-03-11 01:40:00,1.27,"high",14500,11,3,241.666666666667
"45",2017-03-11 07:44:00,-1.53,"low",14864,11,3,247.733333333333
"46",2017-03-11 14:01:00,1.17,"high",15241,11,3,254.016666666667
"47",2017-03-11 19:56:00,-1.53,"low",15596,11,3,259.933333333333
"48",2017-03-12 02:21:00,1.37,"high",15981,12,3,266.35
"49",2017-03-12 08:22:00,-1.63,"low",16342,12,3,272.366666666667
"50",2017-03-12 14:40:00,1.17,"high",16720,12,3,278.666666666667
"51",2017-03-12 20:33:00,-1.63,"low",17073,12,3,284.55
"52",2017-03-13 03:00:00,1.37,"high",17460,13,3,291
"53",2017-03-13 08:56:00,-1.63,"low",17816,13,3,296.933333333333
"54",2017-03-13 15:16:00,1.17,"high",18196,13,3,303.266666666667
"55",2017-03-13 21:07:00,-1.63,"low",18547,13,3,309.116666666667
"56",2017-03-14 03:36:00,1.37,"high",18936,14,3,315.6
"57",2017-03-14 09:29:00,-1.53,"low",19289,14,3,321.483333333333
"58",2017-03-14 15:51:00,1.17,"high",19671,14,3,327.85
"59",2017-03-14 21:39:00,-1.53,"low",20019,14,3,333.65
"60",2017-03-15 04:10:00,1.27,"high",20410,15,3,340.166666666667
"61",2017-03-15 09:59:00,-1.43,"low",20759,15,3,345.983333333333
"62",2017-03-15 16:24:00,1.07,"high",21144,15,3,352.4
"63",2017-03-15 22:11:00,-1.43,"low",21491,15,3,358.183333333333
"64",2017-03-16 04:42:00,1.07,"high",21882,16,3,364.7
"65",2017-03-16 10:29:00,-1.33,"low",22229,16,3,370.483333333333
"66",2017-03-16 16:57:00,0.97,"high",22617,16,3,376.95
"67",2017-03-16 22:43:00,-1.23,"low",22963,16,3,382.716666666667
"68",2017-03-17 05:15:00,0.87,"high",23355,17,3,389.25
"69",2017-03-17 11:00:00,-1.13,"low",23700,17,3,395
"70",2017-03-17 17:30:00,0.87,"high",24090,17,3,401.5
"71",2017-03-17 23:17:00,-1.13,"low",24437,17,3,407.283333333333
"72",2017-03-18 05:48:00,0.77,"high",24828,18,3,413.8
