"","point","habitat","site","latitude","longitude","elevation","day","depth_max","depth_min","hydroperiod_hday"
"1","Zn1_0","Zn","S1",21781.889,-298079.316,0.304,1,1.296,0,21.1333333333333
"2","Zn1_0","Zn","S1",21781.889,-298079.316,0.304,2,1.196,0,20.9
"3","Zn1_0","Zn","S1",21781.889,-298079.316,0.304,3,0.996,0,20.6666666666667
"4","Zn1_0","Zn","S1",21781.889,-298079.316,0.304,4,0.796,0,20
"5","Zn1_0","Zn","S1",21781.889,-298079.316,0.304,5,0.596,0,19.3333333333333
"6","Zn1_0","Zn","S1",21781.889,-298079.316,0.304,6,0.496,0,19.6666666666667
"7","Zn1_0","Zn","S1",21781.889,-298079.316,0.304,7,0.596,0,16.4333333333333
"8","Zn1_0","Zn","S1",21781.889,-298079.316,0.304,8,0.796,0,17.9333333333333
"9","Zn1_0","Zn","S1",21781.889,-298079.316,0.304,9,0.795961399106329,0,18.4
"10","Zn1_0","Zn","S1",21781.889,-298079.316,0.304,10,0.896,0,19.3333333333333
"11","Zn1_0","Zn","S1",21781.889,-298079.316,0.304,11,1.096,0,19.6666666666667
"12","Zn1_0","Zn","S1",21781.889,-298079.316,0.304,12,1.196,0,19.8666666666667
"13","Zn1_0","Zn","S1",21781.889,-298079.316,0.304,13,1.196,0,20.6666666666667
"14","Zn1_0","Zn","S1",21781.889,-298079.316,0.304,14,1.196,0,20.9666666666667
"15","Zn1_0","Zn","S1",21781.889,-298079.316,0.304,15,1.096,0,20.7
"16","Zn1_0","Zn","S1",21781.889,-298079.316,0.304,16,0.896,0,20.1
"17","Zn1_0","Zn","S1",21781.889,-298079.316,0.304,17,0.696,0,19.6
"18","Zn1_0","Zn","S1",21781.889,-298079.316,0.304,18,0.596,0,18.5666666666667
"19","Zn1_0","Zn","S1",21781.889,-298079.316,0.304,19,0.396,0,13.2166666666667
"20","Zn1_0","Zn","S1",21781.889,-298079.316,0.304,20,0.196,0,7.31666666666667
"21","Zn1_0","Zn","S1",21781.889,-298079.316,0.304,21,0.196,0,6.71666666666667
"22","Zn1_0","Zn","S1",21781.889,-298079.316,0.304,22,0.296,0,7.05
"23","Zn1_0","Zn","S1",21781.889,-298079.316,0.304,23,0.496,0,7.4
"24","Zn1_0","Zn","S1",21781.889,-298079.316,0.304,24,0.663120729462289,0,8.55
"25","Zn1_0","Zn","S1",21781.889,-298079.316,0.304,25,0.696,0,9.18333333333333
"26","Zn1_0","Zn","S1",21781.889,-298079.316,0.304,26,0.896,0,9.48333333333333
"27","Zn1_0","Zn","S1",21781.889,-298079.316,0.304,27,1.096,0,9.8
"28","Zn1_0","Zn","S1",21781.889,-298079.316,0.304,28,1.296,0,10.2833333333333
"29","Zn1_0","Zn","S1",21781.889,-298079.316,0.304,29,1.396,0,10.7833333333333
"30","Zn1_0","Zn","S1",21781.889,-298079.316,0.304,30,1.296,0,10.5
"31","Zn1_0","Zn","S1",21781.889,-298079.316,0.304,31,1.196,0,10.3833333333333
"210","Zn1_5","Zn","S1",21785.773,-298075.974,0.334,1,1.266,0,20.8333333333333
"211","Zn1_5","Zn","S1",21785.773,-298075.974,0.334,2,1.166,0,20.5666666666667
"212","Zn1_5","Zn","S1",21785.773,-298075.974,0.334,3,0.966,0,20.3
"213","Zn1_5","Zn","S1",21785.773,-298075.974,0.334,4,0.766,0,19.5333333333333
"214","Zn1_5","Zn","S1",21785.773,-298075.974,0.334,5,0.566,0,18.7333333333333
"215","Zn1_5","Zn","S1",21785.773,-298075.974,0.334,6,0.466,0,19
