"","point","habitat","site","latitude","longitude","elevation","depth_max","depth_min","hydroperiod_hmon","hydroperiod_mperc"
"1","Zn1_0","Zn","S1",21781.889,-298079.316,0.304,1.396,0,474.6,63.7903225806452
"2","Zn1_5","Zn","S1",21785.773,-298075.974,0.334,1.366,0,462.416666666667,62.1527777777778
"3","Zn1_10","Zn","S1",21789.164,-298072.574,0.296,1.404,0,477.85,64.2271505376344
"4","Zn1_15","Zn","S1",21792.974,-298069.287,0.316,1.384,0,469.716666666667,63.1339605734767
"5","Zn1_20","Zn","S1",21796.672,-298065.859,0.391,1.309,0,437.9,58.8575268817204
"6","Sm1_5","Sm","S1",21800.423,-298062.551,0.626,1.074,0,331.233333333333,44.5206093189964
"7","Sm1_10","Sm","S1",21804.08,-298059.124,0.868,0.832,0,214.616666666667,28.8463261648746
"8","Zn2_5","Zn","S2",22956.976,-297418.672,-0.802,2.502,0,938.8,126.182795698925
"9","Zn2_10","Zn","S2",22953.883,-297422.785,-0.585,2.285,0,830.1,111.572580645161
"10","Zn2_15","Zn","S2",22950.905,-297426.603,-0.388,2.088,0,740.983333333333,99.5945340501792
"11","Zn2_20","Zn","S2",22947.866,-297430.661,-0.138,1.838,0,641.416666666667,86.211917562724
"12","Zn2_25","Zn","S2",22944.806,-297434.575,0.122,1.578,0,544.666666666667,73.2078853046595
"13","Zn2_27","Zn","S2",22943.426,-297436.341,0.218,1.482,0,508.35,68.3266129032258
"14","Sm2_5","Sm","S2",22940.079,-297440.028,0.47,1.23,0,402.583333333333,54.1106630824373
"15","Sm2_10","Sm","S2",22936.621,-297443.612,0.65,1.05,0,320.433333333333,43.0689964157706
"16","Sm2_12","Sm","S2",22935.304,-297445.096,0.409,1.291,0,429.516666666667,57.7307347670251
"17","Zn3_0","Zn","S3",22606.589,-296418.715,-1.436,3.136,0,1154.03333333333,155.112007168459
"18","Zn3_5","Zn","S3",22601.8115,-296417.462,-1.3145,3.0145,0,1121.75,150.772849462366
"19","Zn3_10","Zn","S3",22597.034,-296416.209,-1.193,2.893,0,1083.2,145.591397849462
"20","Zn3_15","Zn","S3",22592.356,-296414.77,-0.989,2.689,0,1011.71666666667,135.983422939068
"21","Zn3_20","Zn","S3",22587.53,-296413.356,-0.875,2.575,0,966.333333333333,129.883512544803
"22","Zn3_25","Zn","S3",22582.652,-296411.907,-0.729,2.429,0,901.533333333333,121.173835125448
"23","Zn3_30","Zn","S3",22577.854,-296410.77,-0.596,2.296,0,835.15,112.251344086022
"24","Zn3_35","Zn","S3",22572.855,-296409.262,-0.473,2.173,0,779.2,104.731182795699
"25","Zn3_40","Zn","S3",22567.989,-296408.042,-0.301,2.001,0,704.583333333333,94.7020609318997
"26","Zn3_45","Zn","S3",22563.225,-296406.677,-0.155,1.855,0,647.716666666667,87.0586917562724
"27","Zn3_50","Zn","S3",22558.372,-296405.172,-0.036,1.736,0,603.35,81.0954301075269
"28","Zn3_55","Zn","S3",22553.595,-296403.829,0.013,1.687,0,585.366666666667,78.6783154121864
"29","Zn3_60","Zn","S3",22548.811,-296402.119,0.16,1.54,0,530.316666666667,71.2791218637993
"30","Sm3_5","Sm","S3",22544.305,-296400.676,0.341,1.359,0,459.6,61.7741935483871
"31","Sm3_10","Sm","S3",22539.456,-296398.856,0.363,1.337,0,450.233333333333,60.5152329749104
"32","Sm3_15","Sm","S3",22534.859,-296397.953,0.354,1.346,0,454.15,61.0416666666667
"33","Sm3_20","Sm","S3",22529.783,-296395.904,0.244,1.456,0,498.25,66.9690860215054
"34","Sm3_25","Sm","S3",22525.364,-296394.752,0.278,1.422,0,484.916666666667,65.1769713261649
"35","Zn4_0","Zn","S4",22089.388,-295800.178,-0.493,2.193,0,789.416666666667,106.104390681004
"36","Zn4_5","Zn","S4",22092.709,-295796.611,-0.208,1.908,0,668.033333333333,89.7894265232975
"37","Zn4_7","Zn","S4",22094.258,-295795.428,0.07,1.63,0,563.983333333333,75.8042114695341
"38","Sm4_8","Sm","S4",22094.894,-295794.804,0.114,1.586,0,547.8,73.6290322580645
"39","Sm4_12","Sm","S4",22097.589,-295791.415,0.374,1.326,0,445.6,59.8924731182796
"40","Sm4_15","Sm","S4",22099.22,-295789.262,0.601,1.099,0,341.566666666667,45.9094982078853
